iso2,year,age,sex,cases
AD,1989,0-14,Female,0.0
AD,1989,0-14,Male,0.0
AD,1989,15-24,Female,0.0
AD,1989,15-24,Male,0.0
AD,1989,25-34,Female,0.0
AD,1989,25-34,Male,0.0
AD,1989,35-44,Female,0.0
AD,1989,35-44,Male,0.0
AD,1989,45-54,Female,0.0
AD,1989,45-54,Male,0.0
AD,1989,55-64,Female,0.0
AD,1989,55-64,Male,0.0
AD,1989,65+,Female,0.0
AD,1989,65+,Male,0.0
AD,1990,0-14,Female,0.0
AD,1990,0-14,Male,0.0
AD,1990,15-24,Female,0.0
AD,1990,15-24,Male,0.0
AD,1990,25-34,Female,0.0
AD,1990,25-34,Male,0.0
AD,1990,35-44,Female,0.0
AD,1990,35-44,Male,0.0
AD,1990,45-54,Female,0.0
AD,1990,45-54,Male,0.0
AD,1990,55-64,Female,0.0
AD,1990,55-64,Male,0.0
AD,1990,65+,Female,0.0
AD,1990,65+,Male,0.0
AD,1991,0-14,Female,0.0
AD,1991,0-14,Male,0.0
AD,1991,15-24,Female,0.0
AD,1991,15-24,Male,0.0
AD,1991,25-34,Female,0.0
AD,1991,25-34,Male,0.0
AD,1991,35-44,Female,0.0
AD,1991,35-44,Male,0.0
AD,1991,45-54,Female,0.0
AD,1991,45-54,Male,0.0
AD,1991,55-64,Female,0.0
AD,1991,55-64,Male,0.0
AD,1991,65+,Female,0.0
AD,1991,65+,Male,0.0
AD,1992,0-14,Female,0.0
AD,1992,0-14,Male,0.0
AD,1992,15-24,Female,0.0
AD,1992,15-24,Male,0.0
AD,1992,25-34,Female,0.0
AD,1992,25-34,Male,0.0
AD,1992,35-44,Female,0.0
AD,1992,35-44,Male,0.0
AD,1992,45-54,Female,0.0
AD,1992,45-54,Male,0.0
AD,1992,55-64,Female,0.0
AD,1992,55-64,Male,0.0
AD,1992,65+,Female,0.0
AD,1992,65+,Male,0.0
AD,1993,0-14,Female,0.0
AD,1993,0-14,Male,0.0
AD,1993,15-24,Female,0.0
AD,1993,15-24,Male,0.0
AD,1993,25-34,Female,0.0
AD,1993,25-34,Male,0.0
AD,1993,35-44,Female,0.0
AD,1993,35-44,Male,0.0
AD,1993,45-54,Female,0.0
AD,1993,45-54,Male,0.0
AD,1993,55-64,Female,0.0
AD,1993,55-64,Male,0.0
AD,1993,65+,Female,0.0
AD,1993,65+,Male,0.0
AD,1994,0-14,Female,0.0
AD,1994,0-14,Male,0.0
AD,1994,15-24,Female,0.0
AD,1994,15-24,Male,0.0
AD,1994,25-34,Female,0.0
AD,1994,25-34,Male,0.0
AD,1994,35-44,Female,0.0
AD,1994,35-44,Male,0.0
AD,1994,45-54,Female,0.0
AD,1994,45-54,Male,0.0
AD,1994,55-64,Female,0.0
AD,1994,55-64,Male,0.0
AD,1994,65+,Female,0.0
AD,1994,65+,Male,0.0
AD,1996,0-14,Female,0.0
AD,1996,0-14,Male,0.0
AD,1996,15-24,Female,1.0
AD,1996,15-24,Male,0.0
AD,1996,25-34,Female,1.0
AD,1996,25-34,Male,0.0
AD,1996,35-44,Female,0.0
AD,1996,35-44,Male,4.0
AD,1996,45-54,Female,0.0
AD,1996,45-54,Male,1.0
AD,1996,55-64,Female,1.0
AD,1996,55-64,Male,0.0
AD,1996,65+,Female,0.0
AD,1996,65+,Male,0.0
AD,1997,0-14,Female,0.0
AD,1997,0-14,Male,0.0
AD,1997,15-24,Female,1.0
AD,1997,15-24,Male,0.0
AD,1997,25-34,Female,2.0
AD,1997,25-34,Male,1.0
AD,1997,35-44,Female,3.0
AD,1997,35-44,Male,2.0
AD,1997,45-54,Female,0.0
AD,1997,45-54,Male,2.0
AD,1997,55-64,Female,0.0
AD,1997,55-64,Male,1.0
AD,1997,65+,Female,1.0
AD,1997,65+,Male,6.0
AD,1998,0-14,Female,0.0
AD,1998,0-14,Male,0.0
AD,1998,15-24,Female,0.0
AD,1998,15-24,Male,0.0
AD,1998,25-34,Female,0.0
AD,1998,25-34,Male,0.0
AD,1998,35-44,Female,0.0
AD,1998,35-44,Male,1.0
AD,1998,45-54,Female,0.0
AD,1998,45-54,Male,0.0
AD,1998,55-64,Female,0.0
AD,1998,55-64,Male,0.0
AD,1998,65+,Female,0.0
AD,1998,65+,Male,0.0
AD,1999,0-14,Female,0.0
AD,1999,0-14,Male,0.0
AD,1999,15-24,Female,0.0
AD,1999,15-24,Male,0.0
AD,1999,25-34,Female,0.0
AD,1999,25-34,Male,0.0
AD,1999,35-44,Female,1.0
AD,1999,35-44,Male,1.0
